epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.9101941585540771,0.2232273817062378
0,1.8149540424346924,,,249,,0.3374074697494507,,
1,,,,499,,,0.9368932247161865,0.13764037191867828
1,1.6701810359954834,,,499,,0.16865985095500946,,
2,,,,749,,,0.9769417643547058,0.0870223119854927
2,1.7749266624450684,,,749,,0.12250348925590515,,
3,,,,999,,,0.9805825352668762,0.06333977729082108
3,1.5848562717437744,,,999,,0.101866714656353,,
4,,,,1249,,,0.981796145439148,0.053208090364933014
4,1.70725679397583,,,1249,,0.0859844759106636,,
5,,,,1499,,,0.9769417643547058,0.05755477398633957
5,1.6540062427520752,,,1499,,0.0764346793293953,,
6,,,,1749,,,0.9854369163513184,0.041453659534454346
6,1.6052050590515137,,,1749,,0.06674496084451675,,
7,,,,1999,,,0.9854369163513184,0.04627323895692825
7,1.6613318920135498,,,1999,,0.06780319660902023,,
8,,,,2249,,,0.9842233061790466,0.04226825013756752
8,1.666304588317871,,,2249,,0.05719626694917679,,
9,,,,2499,,,0.9890776872634888,0.03344137594103813
9,1.676980972290039,,,2499,,0.05777709186077118,,
10,,,,2749,,,0.9915048480033875,0.027341216802597046
10,1.7348754405975342,,,2749,,0.04991810396313667,,
11,,,,2999,,,0.9939320683479309,0.025875747203826904
11,1.7018272876739502,,,2999,,0.049768149852752686,,
12,,,,3249,,,0.9866504669189453,0.03818459436297417
12,1.5665316581726074,,,3249,,0.05119842290878296,,
13,,,,3499,,,0.9866504669189453,0.027443813160061836
13,1.6782639026641846,,,3499,,0.046480316668748856,,
14,,,,3749,,,0.9951456189155579,0.021732160821557045
14,1.657649278640747,,,3749,,0.04033048450946808,,
15,,,,3999,,,0.987864077091217,0.025540342554450035
15,1.5870065689086914,,,3999,,0.038289979100227356,,
16,,,,4249,,,0.9927184581756592,0.02208550088107586
16,1.6004791259765625,,,4249,,0.040776222944259644,,
17,,,,4499,,,0.9939320683479309,0.018013587221503258
17,1.6724326610565186,,,4499,,0.038628917187452316,,
18,,,,4749,,,0.9902912378311157,0.022149456664919853
18,1.644629716873169,,,4749,,0.03707220405340195,,
19,,,,4999,,,0.9939320683479309,0.020301025360822678
19,1.7560875415802002,,,4999,,0.03511795774102211,,
20,,412864.0,6850.0,5000,0.9863013625144958,,,
