epoch,epoch_time,flops,params,step,test_accuracy,train_loss,valid_accuracy,valid_loss
0,,,,249,,,0.9757281541824341,0.08159023523330688
0,2.2862765789031982,,,249,,0.19150985777378082,,
1,,,,499,,,0.9757281541824341,0.059065986424684525
1,1.608428955078125,,,499,,0.0948745533823967,,
2,,,,749,,,0.9854369163513184,0.04616991803050041
2,1.6353611946105957,,,749,,0.06475470215082169,,
3,,,,999,,,0.9939320683479309,0.023080317303538322
3,1.612443208694458,,,999,,0.04913508892059326,,
4,,,,1249,,,0.987864077091217,0.022747939452528954
4,1.6699919700622559,,,1249,,0.03869015350937843,,
5,,,,1499,,,0.9975728392601013,0.009451750665903091
5,1.7168090343475342,,,1499,,0.03484058007597923,,
6,,,,1749,,,0.9951456189155579,0.017215369269251823
6,1.6261405944824219,,,1749,,0.03378063067793846,,
7,,,,1999,,,0.9975728392601013,0.008275975473225117
7,1.584740161895752,,,1999,,0.027303315699100494,,
8,,,,2249,,,0.9902912378311157,0.014680929481983185
8,1.611987829208374,,,2249,,0.02634541690349579,,
9,,,,2499,,,0.9987863898277283,0.007651551626622677
9,1.6571857929229736,,,2499,,0.025402171537280083,,
10,,,,2749,,,0.9963592290878296,0.011104798875749111
10,1.6011033058166504,,,2749,,0.023782944306731224,,
11,,,,2999,,,0.9975728392601013,0.008374784141778946
11,1.576317310333252,,,2999,,0.016342943534255028,,
12,,,,3249,,,0.9963592290878296,0.00899280421435833
12,1.6787734031677246,,,3249,,0.02150781825184822,,
13,,,,3499,,,0.9987863898277283,0.007673874497413635
13,1.8088445663452148,,,3499,,0.021678993478417397,,
14,,,,3749,,,0.9951456189155579,0.010437510907649994
14,1.7094476222991943,,,3749,,0.021680476143956184,,
15,,,,3999,,,0.9951456189155579,0.010695959441363811
15,1.597348928451538,,,3999,,0.013975356705486774,,
16,,,,4249,,,0.9963592290878296,0.010475664399564266
16,1.6325981616973877,,,4249,,0.015319950878620148,,
17,,,,4499,,,0.9987863898277283,0.008527521975338459
17,1.6062839031219482,,,4499,,0.017518233507871628,,
18,,,,4749,,,1.0,0.0049694497138261795
18,1.5757064819335938,,,4749,,0.019140567630529404,,
19,,,,4999,,,0.9975728392601013,0.009368028491735458
19,1.5691156387329102,,,4999,,0.021637892350554466,,
20,,4053504.0,55266.00390625,5000,0.9950186610221863,,,
